strain	date	Nextclade_pango	S1_mutations	clade_membership	country	division	emerging_lineage	epiweek	genbank_accession	host	pango_lineage	recency	region	submitting_lab	author	originating_lab	mlr_lineage_fitness	ace2_binding	immune_escape
Denmark/DCGC-692797/2025	2025-09-01	XFG.9.3.2	61.00	25C (XFG)	Denmark	Denmark	24A	202536	OZ331480	Homo sapiens	XFG.9.3.2	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-2.65	1.88
OZ367215	2025-10-22	XFG.9.3.2	62.00	25C (XFG)	United Kingdom	Wales	24A	202543	OZ367215	Homo sapiens	XFG.9.3.2	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit		-2.65	1.88
OZ373566	2025-11-13	XFG.9.3.2	62.00	25C (XFG)	United Kingdom	Wales	24A	202546	OZ373566	Homo sapiens	XFG.9.3.2	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit		-2.65	1.88
OZ373022	2025-11-10	XFG.9.3.2	62.00	25C (XFG)	United Kingdom	Wales	24A	202546	OZ373022	Homo sapiens	XFG.9.3.2	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit		-2.65	1.88
OZ367812	2025-10-19	XFG.9.3.1	62.00	25C (XFG)	United Kingdom	Scotland	24A	202543	OZ367812	Homo sapiens	XFG.9.3.1	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian		-2.65	1.88
Denmark/DCGC-693199/2025	2025-10-27	XFG.9.3	61.00	25C (XFG)	Denmark	Denmark	24A	202544	OZ368689	Homo sapiens	XFG.9.3	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	0.99	-3.38	1.77
Switzerland/VS-ICH-2250918247/2025	2025-09-09	XFG.9.3	61.00	25C (XFG)	Switzerland	Not Provided	24A	202537	OZ337223	Homo sapiens	XFG.9.3	Older	Europe	SIB, Ch. des Mines 9	?		0.99	-0.89	1.35
OZ345614	2025-09-28	XFG.9.3	62.00	25C (XFG)	United Kingdom	Wales	24A	202540	OZ345614	Homo sapiens	XFG.9.3	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit	0.99	-2.65	1.88
IRL/GIRL00077311/2025	2025-10-23	XFG.9.3	61.00	25C (XFG)	Ireland	Kildare	24A	202543	PX634575	Homo sapiens	XFG.9.3	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al		0.99	-2.65	1.88
OZ351500	2025-10-07	XFG.9.3	60.00	25C (XFG)	United Kingdom	Wales	24A	202541	OZ351500	Homo sapiens	XFG.9.3	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit	0.99	0.00	0.00
Denmark/DCGC-693228/2025	2025-10-13	XFG.9.3	61.00	25C (XFG)	Denmark	Denmark	24A	202542	OZ368977	Homo sapiens	XFG.9.3	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	0.99	-3.38	1.77
Denmark/DCGC-692929/2025	2025-09-29	XFG.9.3	61.00	25C (XFG)	Denmark	Denmark	24A	202540	OZ352442	Homo sapiens	XFG.9.3	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	0.99	-2.65	1.88
Denmark/DCGC-692937/2025	2025-09-29	XFG.9.3	61.00	25C (XFG)	Denmark	Denmark	24A	202540	OZ352322	Homo sapiens	XFG.9.3	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	0.99	-2.65	1.88
OZ392144	2025-12-15	XFG.9.3	61.00	25C (XFG)	Denmark	Denmark	24A	202551	OZ392144	Homo sapiens	XFG.9.3	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		0.99	-2.65	1.88
Turkey/TR-01-USAFSAM-S24488/2025	2025-11-14	XFG.9.3	61.00	25C (XFG)	Turkey	Adana	24A	202546	PZ037824	Homo sapiens		3-7 days ago	Europe	United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing	Fries et al		0.99	-2.65	1.88
OZ348905	2025-10-15	XFG.9.3	61.00	25C (XFG)	United Kingdom	England	24A	202542	OZ348905	Homo sapiens	XFG.9.3	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	0.99	-3.38	1.77
USA/CA-LACPHL-AY15174/2025	2025-10-02	XFG.9.3	61.00	25C (XFG)	USA	California	24A	202540	PX487146	Homo sapiens	XFG.9.3	Older	North America	Los Angeles County Public Health Lab microbial pathogen submission group, Los Angeles County Public Health Laboratories	Fox et al	Los Angeles County Public Health Laboratory	0.99	-2.65	1.88
USA/IL-RIPHL_15817_G/2025	2025-10-01	XFG.9.3	61.00	25C (XFG)	USA	Illinois	24A	202540	PX471384	Homo sapiens	XFG.9.3	Older	North America	Regional Innovative Public Health Laboratory, Regional Innovative Public Health Laboratory	Green et al		0.99	-2.65	1.88
OZ348839	2025-10-14	XFG.9.3	61.00	25C (XFG)	United Kingdom	England	24A	202542	OZ348839	Homo sapiens	XFG.9.3	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	0.99	-3.38	1.77
OZ345563	2025-09-24	XFG.9.3	62.00	25C (XFG)	United Kingdom	England	24A	202539	OZ345563	Homo sapiens	XFG.9.3	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	0.99	-3.38	1.77
Denmark/DCGC-693423/2025	2025-11-10	XFG.9.3	61.00	25C (XFG)	Denmark	Denmark	24A	202546	OZ377035	Homo sapiens	XFG.9.3	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	0.99	-2.65	1.88
Denmark/DCGC-693472/2025	2025-11-10	XFG.9.3	61.00	25C (XFG)	Denmark	Denmark	24A	202546	OZ376965	Homo sapiens	XFG.9.3	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	0.99	-2.65	1.88
Switzerland/GE-HUG-49091556/2025	2025-09-01	XFG.9.1	61.00	25C (XFG)	Switzerland	Not Provided	24A	202536	OZ337285	Homo sapiens	XFG.9	Older	Europe	SIB, Ch. des Mines 9	?			-0.89	1.35
IGS-10285-CVDP-D61D5F2C-2210-4118-98CA-E5D69BAA0F43	2026-01-05	XFG.9	62.00	25C (XFG)	Germany		24A	202601			XFG.9	Older	Europe		?		1.00	-2.65	1.88
OZ373552	2025-11-15	XFG.9	61.00	25C (XFG)	United Kingdom	Wales	24A	202546	OZ373552	Homo sapiens	XFG.9	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit	1.00	-2.65	1.88
OZ375563	2025-11-13	XFG.9	61.00	25C (XFG)	United Kingdom	Wales	24A	202546	OZ375563	Homo sapiens	XFG.9	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit	1.00	-2.65	1.88
OZ390248	2025-12-07	XFG.9	61.00	25C (XFG)	United Kingdom	Wales	24A	202550	OZ390248	Homo sapiens	XFG.9	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?		1.00	-2.65	1.88
OZ378157	2025-12-02	XFG.9	61.00	25C (XFG)	United Kingdom	Wales	24A	202549	OZ378157	Homo sapiens	XFG.9	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit	1.00	-2.65	1.88
OZ378125	2025-11-28	XFG.9	61.00	25C (XFG)	United Kingdom	Wales	24A	202548	OZ378125	Homo sapiens	XFG.9	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit	1.00	-2.65	1.88
OZ378103	2025-12-01	XFG.9	61.00	25C (XFG)	United Kingdom	England	24A	202549	OZ378103	Homo sapiens	XFG.9	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit	1.00	-2.65	1.88
OZ390316	2025-12-04	XFG.9	61.00	25C (XFG)	United Kingdom	Wales	24A	202549	OZ390316	Homo sapiens	XFG.9	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?		1.00	-2.65	1.88
OZ386177	2025-12-03	XFG.9	61.00	25C (XFG)	United Kingdom	Wales	24A	202549	OZ386177	Homo sapiens	XFG.9	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit	1.00	-2.65	1.88
OZ390195	2025-12-22	XFG.9	62.00	25C (XFG)	United Kingdom	Wales	24A	202552	OZ390195	Homo sapiens	XFG.9	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?		1.00	-2.65	1.88
OZ404375	2026-01-02	XFG.9	61.00	25C (XFG)	United Kingdom	Wales	24A	202553	OZ404375	Homo sapiens	XFG.9	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit	1.00	-2.65	1.88
OZ390356	2025-12-15	XFG.9	61.00	25C (XFG)	United Kingdom	Wales	24A	202551	OZ390356	Homo sapiens	XFG.9	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?		1.00	-2.65	1.88
IGS-10285-CVDP-BF84CEE5-1519-4008-8E75-6810A02E953E	2025-09-01	XFG.30	61.00	25C (XFG)	Germany		24A	202536			XFG.9	Older	Europe		?			-2.65	1.88
IGS-10285-CVDP-26D06CDA-D1B9-451A-A7A4-B21C3A57AE6E	2025-09-30	XFG.9	61.00	25C (XFG)	Germany		24A	202540			XFG.9	Older	Europe		?		1.00	-2.65	1.88
IGS-10285-CVDP-C15122AE-F3B4-44B1-BE05-6E2CFF0BD815	2025-09-22	XFG.9	61.00	25C (XFG)	Germany		24A	202539			XFG.9	Older	Europe		?		1.00	-2.65	1.88
USA/GKISBBBI28575/2025	2025-10-09	XFG.9	61.00	25C (XFG)	USA	New York	24A	202541	PX462929	Homo sapiens	XFG.9	Older	North America	Ginkgo Bioworks, Ginkgo Biosecurity	Rothstein et al	Ginkgo Biosecurity	1.00	-2.65	1.88
OZ370830	2025-11-04	XFG.9	62.00	25C (XFG)	United Kingdom	Wales	24A	202545	OZ370830	Homo sapiens	XFG.9	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit	1.00	-2.65	1.88
OZ370856	2025-11-05	XFG.9	62.00	25C (XFG)	United Kingdom	Wales	24A	202545	OZ370856	Homo sapiens	XFG.9	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit	1.00	-2.65	1.88
OZ373561	2025-11-11	XFG.9	61.00	25C (XFG)	United Kingdom	Wales	24A	202546	OZ373561	Homo sapiens	XFG.9	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit	1.00	-2.58	1.88
IGS-10285-CVDP-1D8FEC83-713E-4EC5-A882-3C82C1A10077	2025-12-29	XFG.9	61.00	25C (XFG)	Germany		24A	202553			XFG.9	Older	Europe		?		1.00	-2.65	1.88
OZ404812	2026-01-06	XFG.9	62.00	25C (XFG)	United Kingdom	England	24A	202601	OZ404812	Homo sapiens	XFG.9	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?		1.00	-3.38	1.77
USA/CO-CDPHE-45936130/2026	2026-01-04	XFG.9	61.00	25C (XFG)	USA	Colorado	24A	202601	PX952187	Homo sapiens	XFG.9	One month ago	North America	CDPHE SARS-CoV-2 submissions, Genomic Surveillance Program	Matzinger et al	Colorado Department of Public Health and Environment	1.00	-2.65	1.88
IGS-10285-CVDP-7AE0E77E-F2BF-4F2E-A5CC-499F2EFAFDB2	2025-10-20	XFG.9	62.00	25C (XFG)	Germany		24A	202543			XFG.9	Older	Europe		?		1.00	-2.65	1.88
OZ336382	2025-09-08	XFG.9	61.00	25C (XFG)	United Kingdom	Scotland	24A	202537	OZ336382	Homo sapiens	XFG.9	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	1.00	-2.65	1.88
Denmark/DCGC-692950/2025	2025-09-22	XFG.9.5	62.00	25C (XFG)	Denmark	Denmark	24A	202539	OZ352387	Homo sapiens	XFG.9.5	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-2.65	1.88
IGS-10285-CVDP-C8A6D9A4-7C6C-4E0E-80B1-F7051EBA02EA	2025-09-25	XFG.9.5	62.00	25C (XFG)	Germany		24A	202539			XFG.9.5	Older	Europe		?			-2.65	1.88
IGS-10285-CVDP-D8D2AB0D-DD63-4D2E-B9DE-04531005598F	2025-11-12	XFG.9.5	63.00	25C (XFG)	Germany		24A	202546			XFG.9.5	Older	Europe		?			-2.65	1.88
IGS-10285-CVDP-E893C5B9-3F00-4B79-817D-A9DD16501E84	2025-10-13	XFG.9.5	62.00	25C (XFG)	Germany		24A	202542			XFG.9.5	Older	Europe		?			-2.65	1.88
IGS-10285-CVDP-7C04FE96-7987-4863-9951-48260FE57726	2025-11-12	XFG.9.5	62.00	25C (XFG)	Germany		24A	202546			XFG.9.5	Older	Europe		?			-2.65	1.88
IGS-10285-CVDP-DC8A051A-A736-4A44-B5F9-B9199855BC4D	2025-10-28	XFG.9.5	62.00	25C (XFG)	Germany		24A	202544			XFG.9.5	Older	Europe		?			-2.65	1.88
IGS-10285-CVDP-BB5463C3-7587-4F60-B82E-CB644B42A9F3	2025-09-21	XFG.9.6	61.00	25C (XFG)	Germany		24A	202539			XFG.9.6	Older	Europe		?			-2.65	1.88
OZ390392	2025-12-08	XFG.9.6	62.00	25C (XFG)	United Kingdom	Scotland	24A	202550	OZ390392	Homo sapiens	XFG.9.6	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?			-2.65	1.88
IGS-10285-CVDP-97E2AEC9-ED19-48E8-AC88-74FA27F64069	2025-11-20	XFG.9	62.00	25C (XFG)	Germany		24A	202547			XFG.4.1	Older	Europe		?		1.00	-2.65	1.88
OZ404363	2026-01-02	XFG.9	61.00	25C (XFG)	United Kingdom	Wales	24A	202553	OZ404363	Homo sapiens	XFG.9	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit	1.00	-2.65	1.88
USA/GKISBBBH59878/2025	2025-12-11	XFG.9	61.00	25C (XFG)	USA	New York	24A	202550	PX734310	Homo sapiens	XFG.9	Older	North America	Ginkgo Bioworks, Ginkgo Biosecurity	Rothstein et al	Ginkgo Biosecurity	1.00	-2.65	1.88
OZ370842	2025-11-07	XFG.9	61.00	25C (XFG)	United Kingdom	Scotland	24A	202545	OZ370842	Homo sapiens	XFG.9	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	1.00	-2.65	1.88
OZ370855	2025-11-04	XFG.9	61.00	25C (XFG)	United Kingdom	Scotland	24A	202545	OZ370855	Homo sapiens	XFG.9	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	1.00	-2.65	1.88
OZ370805	2025-11-04	XFG.9	61.00	25C (XFG)	United Kingdom	Scotland	24A	202545	OZ370805	Homo sapiens	XFG.9	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	1.00	-2.65	1.88
OZ370803	2025-11-03	XFG.9	61.00	25C (XFG)	United Kingdom	Scotland	24A	202545	OZ370803	Homo sapiens	XFG.9	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	1.00	-2.65	1.88
IGS-10285-CVDP-74F609FD-1C2D-40B1-8798-F96F8C24CC86	2025-09-10	XFG	61.00	25C (XFG)	Germany		24A	202537			XFG	Older	Europe		?		1.00	-2.65	1.88
USA/CA-CDPH-500151052/2025	2025-09-25	XFG	62.00	25C (XFG)	USA	California	24A	202539	PX667283	Homo sapiens	XFG	Older	North America	California Department of Public Health, IDLB VRDL/COVIDNet	Diaz-Cuevas et al	TPMG Kaiser Regional	1.00	-2.65	1.88
OZ375222	2025-10-17	XFG	62.00	25C (XFG)	Slovakia	Slovakia	24A	202542	OZ375222	Homo sapiens	XFG	Older	Europe	Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava	Sladecek et al	Public Health Authority of the Slovak Republic	1.00	-2.65	1.88
IGS-10285-CVDP-58819649-9C14-458E-99A8-84CA02D37FCF	2025-10-05	XFG	62.00	25C (XFG)	Germany		24A	202541			XFG	Older	Europe		?		1.00	-2.65	1.88
IGS-10285-CVDP-D764EA47-080F-4A6E-90D3-A9CCF68715BF	2025-11-14	XFG	62.00	25C (XFG)	Germany		24A	202546			XFG	Older	Europe		?		1.00	-2.65	1.88
ITA/VEN-USAFSAM-S24421/2025	2025-09-23	XFG	61.00	25C (XFG)	Italy	Veneto	24A	202539	PZ036420	Homo sapiens		3-7 days ago	Europe	United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing	Fries et al		1.00	-2.65	1.88
OZ371121	2025-09-25	XFG.11	62.00	25C (XFG)	Slovakia	Slovakia	24A	202539	OZ371121	Homo sapiens	XFG.11	Older	Europe	Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava	Sladecek et al	Public Health Authority of the Slovak Republic		-2.65	1.88
IGS-10285-CVDP-599DA752-8A8A-4557-B794-B87B0A5A0EFF	2025-10-01	XFG	61.00	25C (XFG)	Germany		24A	202540			XFG	Older	Europe		?		1.00	-2.65	1.88
USA/MN-MDH-48277/2025	2025-10-02	XFG.12	61.00	25C (XFG)	USA	Minnesota	24A	202540	PX465145	Homo sapiens	XFG.12	Older	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al	MAYO CLINIC - MICRO CORE LAB		-2.65	1.88
IGS-10285-CVDP-AF1E1EFA-BE05-4BF9-8E4E-DD54CF4254A6	2025-10-13	XFG	62.00	25C (XFG)	Germany		24A	202542			XFG	Older	Europe		?		1.00	-2.65	1.88
IRL/GIRL00074279/2025	2025-10-07	XFG	61.00	25C (XFG)	Ireland	Dublin	24A	202541	PX580433	Homo sapiens	XFG	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al		1.00	-2.65	1.88
IRL/GIRL00072756/2025	2025-10-07	XFG	61.00	25C (XFG)	Ireland	Dublin	24A	202541	PX580415	Homo sapiens	XFG	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al		1.00	-2.65	1.88
Denmark/DCGC-693151/2025	2025-10-27	XFG	61.00	25C (XFG)	Denmark	Denmark	24A	202544	OZ368831	Homo sapiens	XFG	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	1.00	-2.65	1.88
OZ335236	2025-09-16	XFG	61.00	25C (XFG)	United Kingdom	Wales	24A	202538	OZ335236	Homo sapiens	XFG	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit	1.00	-2.65	1.88
OZ346310	2025-10-01	XFG	61.00	25C (XFG)	United Kingdom	England	24A	202540	OZ346310	Homo sapiens	XFG	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	1.00	-3.46	1.88
OZ335440	2025-09-16	XFG	61.00	25C (XFG)	United Kingdom	England	24A	202538	OZ335440	Homo sapiens	XFG.10.5	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	1.00	-3.38	1.77
OZ351648	2025-10-05	XFG	61.00	25C (XFG)	United Kingdom	Scotland	24A	202541	OZ351648	Homo sapiens	XFG	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	1.00	-2.65	1.88
IGS-10285-CVDP-146FC7E6-678D-4997-BEDB-BEA21D6F9486	2025-11-03	XFG	62.00	25C (XFG)	Germany		24A	202545			XFG	Older	Europe		?		1.00	-2.65	1.88
Denmark/DCGC-693363/2025	2025-11-03	XFG	62.00	25C (XFG)	Denmark	Denmark	24A	202545	OZ372631	Homo sapiens	XFG	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	1.00	-2.65	1.92
IGS-10285-CVDP-4FFA2503-5708-4E32-9E3B-7AB9F672828A	2025-11-13	XFG	61.00	25C (XFG)	Germany		24A	202546			XFG	Older	Europe		?		1.00	-2.65	1.88
USA/CO-CDPHE-45225865/2025	2025-10-31	XFG	61.00	25C (XFG)	USA	Colorado	24A	202544	PX571301	Homo sapiens	XFG	Older	North America	CDPHE SARS-CoV-2 submissions, Genomic Surveillance Program	Matzinger et al	Colorado Department of Public Health and Environment	1.00	-2.65	1.88
IGS-10285-CVDP-B7164F8C-24BD-40B0-86D8-D9E7C960E26D	2025-11-24	XFG	61.00	25C (XFG)	Germany		24A	202548			XFG	Older	Europe		?		1.00	-2.65	1.88
IRL/GIRL00094436/2025	2025-12-19	XFG	61.00	25C (XFG)	Ireland	Limerick	24A	202551	PX971383	Homo sapiens	XFG	One month ago	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al		1.00	-2.65	1.88
IGS-10285-CVDP-20EDBC77-8A51-4FCA-A92F-C1B34EB71572	2026-01-02	XFG	61.00	25C (XFG)	Germany		24A	202553			XFG	Older	Europe		?		1.00	-2.65	1.88
USA/GKISBBBE99649/2026	2026-02-09	XFG	63.00	25C (XFG)	USA	Virginia	24A	202606	PZ051978	Homo sapiens		3-7 days ago	North America	Ginkgo Bioworks, Ginkgo Biosecurity	Rothstein et al	Ginkgo Biosecurity	1.00	-2.79	1.89
